Species C_T A_G T_C G_T A_C G_A A_T G_C C_A C_G T_A T_G BranchLength C_T_rate A_G_rate T_C_rate G_T_rate A_C_rate G_A_rate A_T_rate G_C_rate C_A_rate C_G_rate T_A_rate T_G_rate C_T_rate.res A_G_rate.res T_C_rate.res G_T_rate.res A_C_rate.res G_A_rate.res A_T_rate.res G_C_rate.res C_A_rate.res C_G_rate.res T_A_rate.res T_G_rate.res
AUST14-12_Stolotermes_victoriensis_1 25 36 24 9 53 16 86 2 13 3 46 23 0.0423590642 590.19245283516 849.87713208263 566.584754721753 212.469283020657 1251.20800001054 377.723169814502 2030.26203775295 47.2153962268128 306.900075474283 70.8230943402192 1085.95411321669 542.977056608347 107.689617559332 48.9437023406908 -42.1205654517683 103.999710863811 896.925451437566 124.754707046175 1563.80905643617 18.6860186336942 125.94279006763 38.37043523464 829.137750145247 363.083321573501
AUSTRALIANRPERTH_Coptotermes_michaelseni_1 22 42 28 3 7 21 2 2 10 1 5 1 0.3419720194 64.3327487395011 122.817065775411 81.8780438502741 8.77264755538651 20.4695109625685 61.4085328877056 5.84843170359101 5.84843170359101 29.2421585179551 2.92421585179551 14.6210792589775 2.92421585179551 149.55361197213 261.503950665413 192.07589203791 28.0571229276723 96.7270678823505 102.83199123444 100.0462688875 10.5751765813367 64.9257009263057 10.8864614387003 57.0401213434751 40.6190346207659
BDIT022_Microcerotermes_parvus_1 1 1 4 0 0 0 1 0 1 0 0 0 0.1027959698 9.72800783868863 9.72800783868863 38.9120313547545 0 0 0 9.72800783868863 0 9.72800783868863 0 0 0 -358.255535203148 -601.668410002862 -424.778588460496 -82.6994604960133 -267.435463822215 -193.584726394321 -343.632398526953 -21.8210657544266 -127.52922711113 -24.3003020818244 -196.455615581351 -136.002512517103
BDIT026_Promirotermes_pygmaeus_1 28 40 31 6 13 12 13 0 6 3 15 9 0.0559263835 500.658155376702 715.225936252431 554.300100595634 107.283890437865 232.44842928204 214.567780875729 232.44842928204 0 107.283890437865 53.6419452189323 268.209726094662 160.925835656797 43.8634497333178 -43.1588366035993 -21.8512573354113 4.59938172574922 -102.338049507247 -25.0697857354462 -208.616702349379 -27.0234466097907 -63.8632875172583 23.0193869381855 24.9435857928101 -9.11487622185379
BDIT034_Termes_hospes_1 3 10 4 0 0 6 1 0 0 0 0 1 0.0419344884 71.5401597697803 238.467199232601 95.3868796930405 0 0 143.080319539561 23.8467199232601 0 0 0 0 23.8467199232601 -411.76718592287 -563.797748522352 -514.337184438417 -108.650609979115 -354.892658738603 -110.305320401019 -443.400748967088 -28.5765042095012 -181.264282988653 -32.5099302956059 -257.240403852482 -156.355355697995
BDIT049_Aderitotermes_sp.2_1 33 33 38 5 15 10 16 5 11 0 10 4 0.041825276 788.996586657312 788.996586657312 908.541524029632 119.54493737232 358.63481211696 239.08987474464 382.543799591424 119.54493737232 262.998862219104 0 239.08987474464 95.635949897856 305.482299086566 -13.6108636091937 298.555411348465 10.847759559945 3.58521651230697 -14.4030744684121 -84.9080330301573 90.9563109201497 81.6556111340016 -32.5246619974921 -18.2596038864684 -84.6454392769718
BDIT051_Microtermes_sp_Burundi_1 32 42 26 8 10 16 11 1 10 3 11 10 0.0695620528 460.020926811982 603.777466440726 373.767003034735 115.005231702995 143.756539628744 230.010463405991 158.132193591619 14.3756539628744 143.756539628744 43.1269618886233 158.132193591619 143.756539628744 29.0638642754077 -111.84429615318 -169.666390961969 18.1349306665149 -171.435651273467 3.77095188971997 -257.41718839958 -11.1342750224521 -17.5311091114569 14.3437241900251 -71.5154600702469 -16.3815111278149
BDIT061_Alyscotermes_kilimandjaricus_1 11 34 27 5 4 8 10 0 4 2 7 3 0.024111631 456.211361230603 1410.10784380368 1119.79152302057 207.368800559365 165.895040447492 331.790080894984 414.73760111873 0 165.895040447492 82.947520223746 290.316320783111 124.421280335619 -60.8677501534284 551.948387526392 467.302590308726 91.1185787081114 -214.608843613648 60.8921634020416 -85.8608942072439 -30.554786917869 -28.2563974994218 48.0334579616571 15.2755185748054 -68.7243269287482
BDIT062_Acholotermes_chirotus_1 33 49 50 8 42 14 27 3 18 3 25 19 0.0386169997 854.545932008281 1268.87123237593 1294.76656364891 207.162650183826 1087.60391346508 362.534637821695 699.173944370412 77.6859938189346 466.115962913608 77.6859938189346 647.383281824455 492.011294186586 364.952419706892 456.202262625329 677.082385990852 97.0974731718063 727.944064556361 105.889319503661 225.718623907757 48.741258501305 282.452906821985 44.7285662195509 386.829569725398 309.399951689633
BDIT073_Promirotermes_sp.A_1 8 26 14 3 4 12 3 0 1 1 1 1 0.1007907459 79.3723662680028 257.960190371009 138.901640969005 29.764637350501 39.6861831340014 119.058549402004 29.764637350501 0 9.92154578350035 9.92154578350035 9.92154578350035 9.92154578350035 -292.410789270849 -359.724837756328 -329.600392338099 -53.7898444821436 -230.630762594983 -76.4964580030054 -327.348044747215 -22.0436394797696 -128.785604325563 -14.6492417075798 -188.536766863284 -127.537224752094
