Species	C_T	A_G	T_C	G_T	A_C	G_A	A_T	G_C	C_A	C_G	T_A	T_G	BranchLength	C_T_rate	A_G_rate	T_C_rate	G_T_rate	A_C_rate	G_A_rate	A_T_rate	G_C_rate	C_A_rate	C_G_rate	T_A_rate	T_G_rate
AUS50_Heterotermes_validus_1	28	29	32	6	3	25	7	0	8	1	2	2	0.1675016631	167.162519355308	173.132609332283	191.042879263209	35.8205398618517	17.9102699309258	149.252249424382	41.790629838827	0	47.7607198158022	5.97008997697528	11.9401799539506	11.9401799539506
AUS57_Tumulitermes_recalvus_1	28	46	24	6	11	19	20	1	8	1	7	5	0.023784927	1177.21614197092	1933.99794752366	1009.04240740365	252.260601850912	462.477770060005	798.825239194554	840.868672836372	42.0434336418186	336.347469134549	42.0434336418186	294.30403549273	210.217168209093
AUS5_Tumulitermes_sp._1	29	39	35	5	10	6	20	0	8	2	6	3	0.0206754783	1402.62776895468	1886.29251687009	1692.82661770393	241.832373957704	483.664747915409	290.198848749245	967.329495830817	0	386.931798332327	96.7329495830817	290.198848749245	145.099424374623
AUS66_Microcerotermes_sp.E_1	19	69	50	6	9	17	6	2	11	1	4	7	0.0769674509	246.85759730676	896.48285337718	649.62525607042	77.9550307284504	116.932546092676	220.872587063943	77.9550307284504	25.9850102428168	142.917556335492	12.9925051214084	51.9700204856336	90.9475358498588
AUS6_Microcerotermes_nervosus_1	26	47	33	6	9	18	12	1	7	1	7	6	0.0634515144	409.761693568026	740.723061449893	520.082149528649	94.5603908233906	141.840586235086	283.681172470172	189.120781646781	15.7600651372318	110.320455960622	15.7600651372318	110.320455960622	94.5603908233906
AUS73_Termes-group_sp.F_1	7	11	8	0	1	2	1	0	2	0	0	1	0.0815148972	85.8738738616725	134.944658925485	98.1415701276257	0	12.2676962659532	24.5353925319064	12.2676962659532	0	24.5353925319064	0	0	12.2676962659532
AUS76_Microcerotermes_sp.F_1	5	5	6	0	0	3	1	0	0	0	0	0	0.038614296	129.485722075575	129.485722075575	155.38286649069	0	0	77.6914332453452	25.8971444151151	0	0	0	0	0
AUS82_Microcerotermes_sp.I_1	24	39	46	5	7	20	7	0	7	3	10	6	0.0503944871	476.242569001164	773.894174626891	912.79825725223	99.2172018752424	138.904082625339	396.86880750097	138.904082625339	0	138.904082625339	59.5303211251454	198.434403750485	119.060642250291
AUS87_Schedorhinotermes_breinli_Australia_1	1	3	2	0	2	5	1	0	0	0	0	0	0.0686111033	14.5749004447215	43.7247013341644	29.1498008894429	0	29.1498008894429	72.8745022236073	14.5749004447215	0	0	0	0	0
AUS88_Heterotermes_cf_paradoxus_1	0	0	1	0	0	0	0	0	0	0	0	0	0.1072847522	0	0	9.32098904544983	0	0	0	0	0	0	0	0	0
AUS89_NODE_1_length_15463_cov_359375_ID_1361_1	37	80	33	10	71	20	84	6	14	3	40	42	0.102903061	359.561704388949	777.430712192322	320.690168779333	97.1788390240403	689.969757070686	194.357678048081	816.302247801939	58.3073034144242	136.050374633656	29.1536517072121	388.715356096161	408.151123900969
AUS97_Nasutitermes_sp._1	33	64	31	10	14	13	25	2	7	1	13	12	0.0821869452	401.523622999921	778.712480969545	377.188857969623	121.673825151491	170.343355212088	158.175972696939	304.184562878728	24.3347650302983	85.1716776060439	12.1673825151491	158.175972696939	146.00859018179
AUSNAS_Nasutitermes_exitiosus_1	0	6	8	1	0	2	0	0	0	0	0	0	0.0281467805	0	213.168252049289	284.224336065718	35.5280420082148	0	71.0560840164295	0	0	0	0	0	0
AUST14-12_Stolotermes_victoriensis_1	25	36	24	9	53	16	86	2	13	3	46	23	0.0423590642	590.19245283516	849.87713208263	566.584754721753	212.469283020657	1251.20800001054	377.723169814502	2030.26203775295	47.2153962268128	306.900075474283	70.8230943402192	1085.95411321669	542.977056608347
AUSTRALIANRPERTH_Coptotermes_michaelseni_1	22	42	28	3	7	21	2	2	10	1	5	1	0.3419720194	64.3327487395011	122.817065775411	81.8780438502741	8.77264755538651	20.4695109625685	61.4085328877056	5.84843170359101	5.84843170359101	29.2421585179551	2.92421585179551	14.6210792589775	2.92421585179551
BDIT022_Microcerotermes_parvus_1	1	1	4	0	0	0	1	0	1	0	0	0	0.1027959698	9.72800783868863	9.72800783868863	38.9120313547545	0	0	0	9.72800783868863	0	9.72800783868863	0	0	0
BDIT026_Promirotermes_pygmaeus_1	28	40	31	6	13	12	13	0	6	3	15	9	0.0559263835	500.658155376702	715.225936252431	554.300100595634	107.283890437865	232.44842928204	214.567780875729	232.44842928204	0	107.283890437865	53.6419452189323	268.209726094662	160.925835656797
BDIT034_Termes_hospes_1	3	10	4	0	0	6	1	0	0	0	0	1	0.0419344884	71.5401597697803	238.467199232601	95.3868796930405	0	0	143.080319539561	23.8467199232601	0	0	0	0	23.8467199232601
