Species	A_G	T_A	C_A	C_T	T_C	A_C	A_T	G_T	G_A	T_G	C_G	G_C	BranchLength	sumOfSubs	A_G_fr	T_A_fr	C_A_fr	C_T_fr	T_C_fr	A_C_fr	A_T_fr	G_T_fr	G_A_fr	T_G_fr	C_G_fr	G_C_fr	Taxonomy	Worker	diet.Wood.Soil	Soldier
T2.1c_Microcerotermes_havilandi_1	42	4	2	18	38	5	9	4	7	3	0	1	0.0298479254	133	0.315789473684211	0.0300751879699248	0.0150375939849624	0.135338345864662	0.285714285714286	0.037593984962406	0.0676691729323308	0.0300751879699248	0.0526315789473684	0.0225563909774436	0	0.0075187969924812	Microcerotermes	1	Wood	1
T2.1d_Schedorhinotermes_translucens_Singapore_1	31	5	12	26	27	9	8	4	15	3	1	0	0.023859361	141	0.219858156028369	0.0354609929078014	0.0851063829787234	0.184397163120567	0.191489361702128	0.0638297872340425	0.0567375886524823	0.0283687943262411	0.106382978723404	0.0212765957446809	0.00709219858156028	0	Rhinotermitinae	1	Wood	1
T2.1e_Amitermes_dentatus_1	18	2	8	12	17	4	5	2	4	1	0	0	0.0436626186	73	0.246575342465753	0.0273972602739726	0.10958904109589	0.164383561643836	0.232876712328767	0.0547945205479452	0.0684931506849315	0.0273972602739726	0.0547945205479452	0.0136986301369863	0	0	Amitermes-group	1	Wood	1
T3.10E_Bulbitermes_sp.B_1	51	12	6	25	47	11	20	4	13	9	0	2	0.0493278584	200	0.255	0.06	0.03	0.125	0.235	0.055	0.1	0.02	0.065	0.045	0	0.01	Nasutitermitinae	1	Wood	1
T4.12_Odontotermes_sp.A_1	51	10	12	35	38	14	15	2	28	10	2	7	0.054090335	224	0.227678571428571	0.0446428571428571	0.0535714285714286	0.15625	0.169642857142857	0.0625	0.0669642857142857	0.00892857142857143	0.125	0.0446428571428571	0.00892857142857143	0.03125	Macrotermitinae	1	Wood	1
T4.14A_Euhamitermes_hamatus_1	93	37	35	21	53	54	47	18	14	23	8	3	0.0265106983	406	0.229064039408867	0.0911330049261084	0.0862068965517241	0.0517241379310345	0.130541871921182	0.133004926108374	0.11576354679803	0.0443349753694581	0.0344827586206897	0.0566502463054187	0.0197044334975369	0.00738916256157635	Apicotermitinae	1	Soil	1
T6.9a_Parrhinotermes_spB_Singapore_1	28	9	5	12	30	4	3	1	3	1	1	1	0.0253786601	98	0.285714285714286	0.0918367346938776	0.0510204081632653	0.122448979591837	0.306122448979592	0.0408163265306122	0.0306122448979592	0.0102040816326531	0.0306122448979592	0.0102040816326531	0.0102040816326531	0.0102040816326531	Rhinotermitinae	1	Wood	1
TBRU1.1b_Parrhinotermes_aequalis_spB_Brunei_1	38	3	3	19	25	3	7	8	10	4	0	2	0.0310941054	122	0.311475409836066	0.0245901639344262	0.0245901639344262	0.155737704918033	0.204918032786885	0.0245901639344262	0.0573770491803279	0.0655737704918033	0.0819672131147541	0.0327868852459016	0	0.0163934426229508	Rhinotermitinae	1	Wood	1
TBRU1.22c_Parrhinotermes_microdentiformis_spA_Brunei_1	50	20	10	50	43	16	27	4	19	16	1	1	0.0820621983	257	0.194552529182879	0.0778210116731518	0.0389105058365759	0.194552529182879	0.167315175097276	0.0622568093385214	0.105058365758755	0.0155642023346304	0.0739299610894942	0.0622568093385214	0.00389105058365759	0.00389105058365759	Rhinotermitinae	1	Wood	1
TBRU1-3_Coptotermes_travians_Brunei_1	72	9	17	39	48	19	16	11	20	14	4	3	0.0238780831	272	0.264705882352941	0.0330882352941176	0.0625	0.143382352941176	0.176470588235294	0.0698529411764706	0.0588235294117647	0.0404411764705882	0.0735294117647059	0.0514705882352941	0.0147058823529412	0.0110294117647059	Coptotermitinae	1	Wood	1
