Species	C_T	A_G	T_C	G_T	G_A	A_T	G_C	A_C	C_A	C_G	T_A	T_G	BranchLength	sumOfSubs	C_T_fr	A_G_fr	T_C_fr	G_T_fr	G_A_fr	A_T_fr	G_C_fr	A_C_fr	C_A_fr	C_G_fr	T_A_fr	T_G_fr	Taxonomy	Worker	diet.wood.soil	Soldier	TsTv	Ts	Tv	Cockroaches
AUS109_Kalotermitidae_sp_E_Australia_1	12	33	32	4	10	33	0	13	9	1	21	9	0.071807333	177	0.06779661	0.186440678	0.18079096	0.02259887	0.056497175	0.186440678	0	0.073446328	0.050847458	0.005649718	0.118644068	0.050847458	Kalotermitidae	0	wood	1	0.966666666666667	87	90	0
AUS114_Microcerotermes_sp.H_1	25	24	25	3	14	10	0	8	2	2	1	5	0.030785089	119	0.210084034	0.201680672	0.210084034	0.025210084	0.117647059	0.084033613	0	0.067226891	0.016806723	0.016806723	0.008403361	0.042016807	Microcerotermes	1	Wood	1	2.83870967741935	88	31	0
AUS11_Schedorhinotermes_spA_Australia_1	19	17	29	6	6	6	2	3	6	0	6	2	0.023055091	102	0.18627451	0.166666667	0.284313725	0.058823529	0.058823529	0.058823529	0.019607843	0.029411765	0.058823529	0	0.058823529	0.019607843	Rhinotermitinae	1	Wood	1	2.29032258064516	71	31	0
AUS121_Heterotermes_cf_paradoxus_1	19	29	24	6	21	6	2	4	5	1	2	2	0.032807141	121	0.157024793	0.239669421	0.198347107	0.049586777	0.173553719	0.049586777	0.016528926	0.033057851	0.041322314	0.008264463	0.016528926	0.016528926	Coptotermitinae	1	Wood	1	3.32142857142857	93	28	0
AUS19_Ephelotermes_taylori_1	38	39	40	2	19	22	4	16	14	3	15	5	0.056952238	217	0.175115207	0.179723502	0.184331797	0.00921659	0.087557604	0.101382488	0.01843318	0.073732719	0.064516129	0.013824885	0.069124424	0.023041475	Termes-group	1	Soil	1	1.67901234567901	136	81	0
AUS46_Lophotermes_septentrionalis_1	37	43	38	6	25	12	1	13	15	3	13	8	0.056082094	214	0.172897196	0.200934579	0.177570093	0.028037383	0.11682243	0.056074766	0.004672897	0.060747664	0.070093458	0.014018692	0.060747664	0.037383178	Termes-group	1	Soil	1	2.01408450704225	143	71	0
AUS47_Heterotermes_vagus_Australia_1	20	73	62	4	10	14	2	12	4	1	6	9	0.043418296	217	0.092165899	0.33640553	0.285714286	0.01843318	0.046082949	0.064516129	0.00921659	0.055299539	0.01843318	0.004608295	0.02764977	0.041474654	Coptotermitinae	1	Wood	1	3.17307692307692	165	52	0
AUS49_Tumulitermes_sp._1	36	41	60	6	19	20	3	14	10	3	19	5	0.068231226	236	0.152542373	0.173728814	0.254237288	0.025423729	0.080508475	0.084745763	0.012711864	0.059322034	0.042372881	0.012711864	0.080508475	0.021186441	Nasutitermitinae	1	Wood	1	1.95	156	80	0
AUS4_Amitermes_meridionalis_1	25	33	27	5	25	11	3	13	9	4	13	10	0.050118613	178	0.140449438	0.185393258	0.151685393	0.028089888	0.140449438	0.061797753	0.016853933	0.073033708	0.050561798	0.02247191	0.073033708	0.056179775	Amitermes-group	1	wood	1	1.61764705882353	110	68	0
AUS50_Heterotermes_validus_1	24	28	31	6	23	6	0	3	7	1	2	2	0.046354494	133	0.180451128	0.210526316	0.233082707	0.045112782	0.172932331	0.045112782	0	0.022556391	0.052631579	0.007518797	0.015037594	0.015037594	Coptotermitinae	1	Wood	1	3.92592592592593	106	27	0
