Species	Taxonomy	Worker	diet.Wood.Soil	Soldier
EC1466_0_NODE_3_length_15795_cov_299853_ID_608187_1	Kalotermitidae	0	Wood	1
FG16-11_1	Kalotermitidae	0	Wood	1
FG17-7_NODE_1_length_15536_cov_109291_ID_76_1	Kalotermitidae	0	Wood	1
FG-ND2-12_1	Kalotermitidae	0	Wood	1
FG-N-D2-2_Neotermes_spA_FG_1	Kalotermitidae	0	Wood	1
FG-ND2-3_Comatermes_sp._1	Kalotermitidae	0	Wood	1
FLY667_0_NODE_1_length_15810_cov_38592_ID_136216_1	Kalotermitidae	0	Wood	1
G678_Rugitermes_sp_A_1	Kalotermitidae	0	Wood	1
Glypto1_Glyptotermes_fuscus_Japan_1	Kalotermitidae	0	Wood	1
Glyptotermes_satsumensis_1	Kalotermitidae	0	Wood	1
GP17-13_1	Kalotermitidae	0	Wood	1
GR2200_NODE_14_length_15769_cov_491341_ID_624588_1	Kalotermitidae	0	Wood	1
Incisitermes_arizonensis_1	Kalotermitidae	0	Wood	1
Incisitermes_minor_1	Kalotermitidae	0	Wood	1
ISO262_Neotermes_insularis_1	Kalotermitidae	0	Wood	1
KE15-10_1	Kalotermitidae	0	Wood	1
KE15-140_1	Kalotermitidae	0	Wood	1
KE15-30_1	Kalotermitidae	0	Wood	1
KF_Kalotermes_flavicollis_1	Kalotermitidae	0	Wood	1
M16_1	Kalotermitidae	0	Wood	1
MAD15-108_NODE_1_length_15757_cov_110743_ID_123_1	Kalotermitidae	0	Wood	1
MAD15-1_1	Kalotermitidae	0	Wood	1
MAD15-128_NODE_1_length_16052_cov_832021_ID_301_1	Kalotermitidae	0	Wood	1
MAD15-171_NODE_1_length_15507_cov_475004_ID_850_1	Kalotermitidae	0	Wood	1
MAD15-2_1	Kalotermitidae	0	Wood	1
MAL10_Neotermes_spA_Malaysia_1	Kalotermitidae	0	Wood	1
MAL36_Cryptotermes_sp1_Malaysia_1	Kalotermitidae	0	Wood	1
NG21_Glyptotermes_spA_NewGuinea_1	Kalotermitidae	0	Wood	1
NU_mod_1	Kalotermitidae	0	Wood	1
PA942_NODE_72_length_15794_cov_8138327_1	Kalotermitidae	0	Wood	1
PHI6_1	Kalotermitidae	0	Wood	1
RDCT163_Glyptotermes_spA_Congo_1	Kalotermitidae	0	Wood	1
SING74_Neotermes_spA_Singapore_1	Kalotermitidae	0	Wood	1
SING76_Glyptotermes_1	Kalotermitidae	0	Wood	1
TBRU5.4a_Glyptotermes_1	Kalotermitidae	0	Wood	1
THAI031_Glyptotermes_sp3_Thailand_1	Kalotermitidae	0	Wood	1
THAI108_NODE_1_length_15711_cov_281392_ID_711_1	Kalotermitidae	0	Wood	1
TP1.15A_Cryptotermes_sp3_Malaysia_1	Kalotermitidae	0	Wood	1
Lamproblatta_sp_1	Lamproblattidae	NA	NA	NA
BDIT020_Microtermes_sp_Burundi_1	Macrotermitinae	1	Wood	1
BDIT023_Pseudacanthotermes_spiniger_Burundi_1	Macrotermitinae	1	Wood	1
BDIT051_Microtermes_sp_Burundi_1	Macrotermitinae	1	Wood	1
BDIT129_Macrotermes_vitrialatus_Burundi_1	Macrotermitinae	1	Wood	1
BDIT8-M2B_Microtermes_sp_Burundi_1	Macrotermitinae	1	Wood	1
CA10_Synacanthotermes_sp._1	Macrotermitinae	1	Wood	1
CA27_Acanthotermes_acanthotorax_Cameroon_1	Macrotermitinae	1	Wood	1
E16_Microtermes_sp_Pakistan_1	Macrotermitinae	1	Wood	1
E31_Microtermes_obesi_Pakistan_1	Macrotermitinae	1	Wood	1
E50_Microtermes_sp1_Pakistan_1	Macrotermitinae	1	Wood	1
IND1_Microtermes_sp.C_India_1	Macrotermitinae	1	Wood	1
IND6_Odontotermes_sp.C_1	Macrotermitinae	1	Wood	1
IND8_Odontotermes_sp.B_1	Macrotermitinae	1	Wood	1
Macrotermes_barneyi_1	Macrotermitinae	1	Wood	1
Odontotermes_formosanus_Japan_1	Macrotermitinae	1	Wood	1
RDCT011_Macrotermes_muelleri_Congo_1	Macrotermitinae	1	Wood	1
RDCT016_Protermes_prorepens_1	Macrotermitinae	1	Wood	1
RDCT144_Odontotermes_sp.D_1	Macrotermitinae	1	Wood	1
RDCT160_Odontotermes_nr.pauperans_1	Macrotermitinae	1	Wood	1
RDCT161_Pseudacanthotermes_militaris_Congo_1	Macrotermitinae	1	Wood	1
SAF1_Microtermes_sp.A_1	Macrotermitinae	1	Wood	1
SAF2_Macrotermes_falciger_SouthAfrica_1	Macrotermitinae	1	Wood	1
SAF3_Microtermes_sp.B_1	Macrotermitinae	1	Wood	1
SAF5_Allodontermes_schultzei_1	Macrotermitinae	1	Wood	1
SING60_Macrotermes_malaccensis_1	Macrotermitinae	1	Wood	1
T4.12_Odontotermes_sp.A_1	Macrotermitinae	1	Wood	1
TBRU9.19A_Macrotermes_sp.B_1	Macrotermitinae	1	Wood	1
THAI008_Hypotermes_makhamensis_1	Macrotermitinae	1	Wood	1
THAI071_Macrotermes_annandalei_1	Macrotermitinae	1	Wood	1
THAI102_Odontotermes_longignathus_1	Macrotermitinae	1	Wood	1
THAI115_Odontotermes_sp.10_1	Macrotermitinae	1	Wood	1
Ancistrotermes_pakistanicus_Thailand_1	Macrotermitinae	1	Wood	1
BDIT064_Macrotermes_sp.A_1	Macrotermitinae	1	Wood	1
BDIT085_Odontotermes_sp._1	Macrotermitinae	1	Wood	1
BDIT087_Odontotermes_sp._1	Macrotermitinae	1	Wood	1
E17_Odontotermes_obesus_1	Macrotermitinae	1	Wood	1
E35_Odontotermes_obesus_1	Macrotermitinae	1	Wood	1
IS95_Macrotermes_subhyalinus_1	Macrotermitinae	1	Wood	1
Macrotermes_natalensis_Africa_1	Macrotermitinae	1	Wood	1
MAL41_Odontotermes_sp.K_1	Macrotermitinae	1	Wood	1
PHI4_Macrotermes_sp_Philippines_1	Macrotermitinae	1	Wood	1
RDCT048_Microtermes_sp._1	Macrotermitinae	1	Wood	1
RDCT148_Microtermes_sp._1	Macrotermitinae	1	Wood	1
SING87_Macrotermes_carbonarius_Singapore_1	Macrotermitinae	1	Wood	1
SING91_Macrotermes_gilvus_Singapore_1	Macrotermitinae	1	Wood	1
TBRU9.19E_Odontotermes_mathuri_1	Macrotermitinae	1	Wood	1
THAI064_Odontotermes_javanicus_1	Macrotermitinae	1	Wood	1
THAI088_Microtermes_obesi_Thailand_1	Macrotermitinae	1	Wood	1
THAI005_Odontotermes_sp.6_1	Macrotermitinae	1	Wood	1
I9_Mastotermes_darwiniensis_1	Mastotermitidae	1	Wood	1
AUS114_Microcerotermes_sp.H_1	Microcerotermes	1	Wood	1
AUS66_Microcerotermes_sp.E_1	Microcerotermes	1	Wood	1
AUS6_Microcerotermes_nervosus_1	Microcerotermes	1	Wood	1
AUS82_Microcerotermes_sp.I_1	Microcerotermes	1	Wood	1
BDIT089_Microcerotermes_progrediens_1	Microcerotermes	1	Wood	1
BDIT102_Microcerotermes_fuscotibialis_1	Microcerotermes	1	Wood	1
G689_Microcerotermes_sp._1	Microcerotermes	1	Wood	1
NEW4_Microcerotermes_baluchistanicus_1	Microcerotermes	1	Wood	1
NG71_Microcerotermes_biroi_1	Microcerotermes	1	Wood	1
RDCT033_Microcerotermes_fuscotibialis_1	Microcerotermes	1	Wood	1
SING48_Microcerotermes_sp.B_1	Microcerotermes	1	Wood	1
T2.1c_Microcerotermes_havilandi_1	Microcerotermes	1	Wood	1
TBRU3.18a_Microcerotermes_nr.havilandi_1	Microcerotermes	1	Wood	1
TBRU9.12E_Microcerotermes_serrula_1	Microcerotermes	1	Wood	1
THAI055_Microcerotermes_sp.A_1	Microcerotermes	1	Wood	1
WA2_Microcerotermes_newmani_1	Microcerotermes	1	Wood	1
AUS30_Microcerotermes_sp._1	Microcerotermes	1	Wood	1
AUS71_Microcerotermes_sp.G_1	Microcerotermes	1	Wood	1
BDIT022_Microcerotermes_parvus_1	Microcerotermes	1	Wood	1
COL2012-T09_Microcerotermes_sp._1	Microcerotermes	1	Wood	1
E42_Microcerotermes_sp.3_1	Microcerotermes	1	Wood	1
FG-ND2-38_Microcerotermes_sp.SA_1	Microcerotermes	1	Wood	1
MAL21_Microcerotermes_crassus_1	Microcerotermes	1	Wood	1
PHI1_Microcerotermes_crassus_1	Microcerotermes	1	Wood	1
SING47_Microcerotermes_crassus_1	Microcerotermes	1	Wood	1
